Removed Pin From Net: NetName=GND Pin=R2-1
Removed Member From Class: ClassName=M1 Design Member=Rx7
Removed Member From Class: ClassName=M1 Design Member=Rx8
Change Component Footprint: Designator=U1 Old Footprint=ADI-R-8_M New Footprint=P0008A
Change Component Footprint: Designator=R2 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-ERA2A-MFG
Change Component Comment : Designator=U1 Old Comment=AD8066ARZ-R7 New Comment=LM741CN/NOPB
Change Component Comment : Designator=C1 Old Comment=CC0603JRNPO9BN101 New Comment=100p
Change Component Comment : Designator=R2 Old Comment=CRCW080530R0FKEA New Comment=3.3k
Change Component Comment : Designator=C2 Old Comment=GRM1555C1H391JA01D New Comment=390p
Change Component Comment : Designator=C3 Old Comment=GRM1555C1H391JA01D New Comment=390p
Change Component Comment : Designator=L1 Old Comment=LQW15CA2R0K00D New Comment=2u
Change Component Comment : Designator=L2 Old Comment=LQW15CAR50J00D New Comment=500n
Change Component Comment : Designator=L3 Old Comment=LQW15CAR50J00D New Comment=500n
Change Component Comment : Designator=R1 Old Comment=RC0402JR-0724RL New Comment=24
Change Managed Component Library Link : Designator=R2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F20FB587-8D02-4E52-8B21-838F3EF5EE45 New ItemGUID=307F3841-FA1A-4EB3-BEDF-C7C9B9D18CEB Old RevisionGUID=119598A5-61E1-4227-BD21-3546392F99FA New RevisionGUID=889665CF-B25A-4E90-8233-E026D5BDCEE6
Change Managed Component Library Link : Designator=U1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=17717F7B-84A2-43DB-87C9-B99E61A4A3F8 New ItemGUID=4960B38A-7780-4A54-8E48-6B73254E80ED Old RevisionGUID=B0E897E5-A922-4BCD-9C2F-8AC4FD8F0AB7 New RevisionGUID=BE3B0EAA-2F2C-4F87-9FCC-D7023079F6C7
Change component parameters: Designator = "R2" ("R2"); Footprint = "FP-CRCW0805-e3-MFG"; UniqueID = "\NYORREUJ" ("\NYORREUJ")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Thin Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "500µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "350µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Production"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "63mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NexarPartId"; Value = "9251384"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "63mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "3.3kO"; VariantName = "[No Variations]"
